Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,Battery_Cell,C70377
"C1, C10, C11, C12, C16, C2, C20, C21, C22, C23, C24, C25, C28, C3, C4, C5, C6, C7, C8, C9",805,20,0.1uF,C1711
C13,805,1,10uF,C15850
"C14, C15",805,2,1uF,C91185
"C17, C18",805,2,10pF,C107107
C19,805,1,4.7uF,CL21A475KAQNNNE
,,,,
,,,,
,,,,
"D1, D2, D3, D4, D6, D7",D_SMA-SMB_Universal_Handsoldering,6,D,C2972759
,,,,
FB1,805,1,600R,C341663
,,,,
,,,,
,,,,
"Q1, Q2, Q3, Q4",SOT-23,4,FDV305N,C154511
"R1, R4, R5, R6, R7, R8",805,6,10k,C84376
"R10, R11, R12, R13",805,4,30,C2907256
"R2, R3",805,2,4.7k,C2907326
R9,805,1,1k,C2907295
SW1,SW_SPST_PTS645Sx43SMTR92,1,Reset button,C22375342
,,,,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,C69336
U2,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,C9866
"U3, U4",SOIC-16_3.9x9.9mm_P1.27mm,2,MAX3232ESE,C143435
,,,,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,16MHz,C13738
