Designator,Mid X,Mid Y,Rotation,Layer
BT1,134.15,-72.25,0.0,top
C1,145.9625,-101.75,180.0,top
C10,113.7875,-98.0,0.0,top
C11,109.75,-108.0,90.0,top
C12,115.0,-114.0,180.0,top
C13,114.9625,-116.5,180.0,top
C14,107.5,-112.5,180.0,top
C15,107.5,-115.0,180.0,top
C16,109.25,-95.25,90.0,top
C17,103.5,-108.75,180.0,top
C18,103.5,-101.0,0.0,top
C19,125.4625,-112.0,0.0,top
C2,146.0,-99.0,180.0,top
C20,146.0,-116.25,180.0,top
C21,146.0,-114.0,180.0,top
C22,134.725,-117.345,90.0,top
C23,141.5,-121.5,270.0,top
C24,146.0,-111.75,0.0,top
C25,92.1725,-98.23,0.0,top
C26,78.46,-96.23,90.0,top
C27,82.46,-101.774888,270.0,top
C28,86.71,-98.48,0.0,top
C29,89.21,-103.297621,270.0,top
C3,142.4625,-105.25,0.0,top
C4,145.9625,-96.75,0.0,top
C5,135.0,-103.0375,90.0,top
C6,114.75,-74.0,180.0,top
C7,121.4625,-114.0,180.0,top
C8,110.0,-101.25,90.0,top
C9,126.5,-102.5,270.0,top
D1,123.0,-129.0,180.0,top
D2,139.93,-128.905,180.0,top
D3,107.365,-129.5,180.0,top
D4,91.0,-130.25,180.0,top
D5,94.71,-84.0,270.0,top
D6,87.16,-109.79,0.0,top
D7,77.46,-108.83,270.0,top
FB1,110.75,-113.5,270.0,top
J1,129.06,-98.5,270.0,top
J10,137.425,-138.8275,0.0,top
J2,156.75,-67.08,90.0,top
J3,156.75,-89.29,90.0,top
J4,69.0,-100.745,270.0,top
J5,156.75,-111.75,90.0,top
J6,156.75,-133.83,90.0,top
J7,87.71,-139.0,0.0,top
J8,104.175,-139.0775,0.0,top
J9,120.925,-139.0775,0.0,top
Q1,83.0,-129.75,90.0,top
Q2,99.25,-128.75,90.0,top
Q3,115.75,-128.25,90.0,top
Q4,131.0,-128.0,90.0,top
R1,113.75,-95.0,0.0,top
R10,104.965,-123.25,180.0,top
R11,85.75,-123.75,180.0,top
R12,131.5,-120.0,270.0,top
R13,120.68,-123.25,180.0,top
R2,119.0,-91.75,90.0,top
R3,115.5,-91.75,90.0,top
R4,81.25,-123.75,0.0,top
R5,99.25,-123.25,0.0,top
R6,115.75,-123.25,0.0,top
R7,131.0,-123.25,0.0,top
R8,106.5,-95.25,90.0,top
R9,94.0,-90.25,90.0,top
SW1,101.0,-93.2125,90.0,top
U1,118.0,-106.0,270.0,top
U2,113.305,-81.5,180.0,top
U3,140.0,-98.75,90.0,top
U4,140.0,-113.75,90.0,top
U5,86.5,-85.9,0.0,top
Y1,103.6,-104.8,270.0,top
